what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383536513148
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383536865460
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383536870913
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20111007_r372,"org.eclipse.ui.externaltools",1383536872383
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1383536872552
started,bundle,org.eclipse.core.externaltools,1.0.100.v20111007_r372,"org.eclipse.core.externaltools",1383536872681
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1383538775570
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1383538775744
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1383538775842
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.properties",1383538776948
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383538776966
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1383538778170
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1383538778199
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1383538778394
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1383538778430
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383538781066
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383538781846
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1383538785954
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1383538786085
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1383538786237
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1383538786266
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1383538788131
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383538798482
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383538843274
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383538846012
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383538852808
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383538862633
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383538869368
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383538871036
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1383538927127
